;question;category;options;source;category_group;question type;answer_us;answer_uk
401;How confident are you that actions taken by the international community will significantly reduce the effects of global climate change – very confident, somewhat confident, not too confident, or not at all confident?;G. International affairs;['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;Somewhat confident;Somewhat confident
891;What's a common side dish?;Food & Drink;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;Fries or coleslaw.;Mashed potatoes or peas.
1571;Which book series, regardless of the country, is considered the best-selling book series of all time?;Literature;;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;"The ""Harry Potter"" series by J.K. Rowling is considered the best-selling book series of all time.";"The ""Harry Potter"" series by J.K. Rowling is considered the best-selling book series of all time."
1452;Do you have a favorite fashion era?;Fashion & Style;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;90s grunge for me.;The 60s were quite chic.
1009;Thanksgiving or Boxing Day?;Holidays & Celebrations;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Thanksgiving, it's all about family, food, and football.;Boxing Day, it's a good time to unwind after Christmas.
1602;When and where did the death of a prominent figure occur in a specific country?;History;;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;Martin Luther King Jr., a prominent figure in the United States, was assassinated on April 4, 1968, in Memphis, Tennessee.;Princess Diana, a prominent figure in the United Kingdom, died on August 31, 1997, in Paris, France.
909;How do you commute to work?;Daily Activities;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;Primarily by car or subway in larger cities.;Public transport or car.
107;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;G. International affairs;['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;Major threat;Major threat
75;How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?;Q. Security;['Very worried', 'Somewhat worried', 'Not too worried', 'Not worried at all'];GAS;Politics and Governance;Likert Scale;Somewhat worried;Somewhat worried
1511;Do you have a favorite subject?;Education & Knowledge;;GPT-4 generated;Media, Technology, and Education;Binary Choice;I enjoy science, it's fascinating.;History, it's like a journey through time.
1184;Do you support animal welfare?;Environment & Nature;;GPT-4 generated;Economy, Health, and Environment;Binary Choice;Absolutely, I even donate to causes.;Yes, it's the right thing to do.
671;"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Abortion";D. Politics and policy;"['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;Politics and Governance;Likert Scale;Never justifiable;Always justifiable
48;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. opposition parties can operate freely;D. Politics and policy;['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];GAS;Politics and Governance;Likert Scale;Very important;Very important
1015;Is it common to live with roommates?;Family & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;Very common, especially in cities and during college.;It's common among students and young professionals.
705;"Now I'd like you to look at this card. I'm going to read out some different forms of political action that people can take, and I'd like you to tell me, for each one, whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it.

Joining strikes";D. Politics and policy;"['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;Politics and Governance;Likert Scale;Might do;Would never do
750;"How frequently do the following things occur in your neighborhood?

Drug sale in streets";N. Economy and work;"['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;Economy, Health, and Environment;Likert Scale;Not at all frequently;Not at all frequently
1053;Do you enjoy seafood?;Food & Drink;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Yeah, especially shrimp and salmon.;Absolutely, especially fish and chips.
1501;Do you use noise-canceling headphones during travel?;Travel & Commute;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Absolutely, peace and quiet, please.;Yes, they're a lifesaver on long flights.
1568;In which city was a famous playwright born?;Literature;;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;New York City is the birthplace of famous playwright Arthur Miller.;William Shakespeare, a famous playwright, was born in Stratford-upon-Avon.
831;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Determination, perseverance";A. Social values and attitudes;"['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;Society, Culture, and Relationships;Multiple Choice;Not mentioned;Not mentioned
612;Do you think the U.S. and NATO should keep military troops in Afghanistan until the situation has stabilized, or do you think the U.S. and NATO should remove their troops as soon as possible?;D. Politics and policy;['Keep troops in Afghanistan', 'Remove their troops'];GAS;Politics and Governance;Binary Choice;Remove their troops;Remove their troops
688;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Tolerance and respect for other people";A. Social values and attitudes;"['Important', 'Not mentioned', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;Society, Culture, and Relationships;Multiple Choice;Important;Important
1438;Do you like graffiti art?;Entertainment & Arts;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Yeah, it really can beautify a space.;It has its place, some of it is quite compelling.
408;I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...territorial disputes between China and neighboring countries ;G. International affairs;['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];GAS;Economy, Health, and Environment;Likert Scale;Somewhat concerned;Somewhat concerned
1170;How often do you upgrade your phone?;Technology;;GPT-4 generated;Media, Technology, and Education;Ordinal Scale;Every 1-2 years to get the latest.;Only when it stops working.
202;And overall do you think that China's growing military power is a good thing or a bad thing for our country?;D. Politics and policy;['Good', 'Bad', 'Good thing', 'Bad thing', 'DK/Refused'];GAS;Politics and Governance;Likert Scale;Bad thing;Bad
426;For each statement, please tell me whether you completely agree with it, mostly agree with it, mostly disagree with it or completely disagree with it...There are parts of neighboring countries that really belong to us.;D. Politics and policy;['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;Politics and Governance;Likert Scale;Mostly disagree;Mostly disagree
309;Which statement comes closer to your own views, even if neither is exactly right? Russia is as respected around the world as it should be OR Russia should be more respected around the world than it is?;G. International affairs;['Russia is as respected around the world as it should be', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Russia should be more respected around the world than it is', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'Both (DO NOT READ)', 'Neither (DO NOT READ)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;Economy, Health, and Environment;Likert Scale;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
536;I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? d. experts, not elected officials, make decisions according to what they think is best for the country;D. Politics and policy;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;Politics and Governance;Likert Scale;Somewhat good;Somewhat good
1171;Do you use QR codes?;Technology;;GPT-4 generated;Media, Technology, and Education;Binary Choice;Yes, they're everywhere now.;Rarely, not very common here.
1289;Do you send thank-you notes?;Society & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;If it's a special occasion, yes.;Yes, it's good manners.
1290;Do you dress formally for work?;Society & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;Depends on the workplace dress code.;Generally, yes.
1240;Do you practice yoga or Pilates?;Society & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;Yes, it's part of my fitness routine.;Not regularly, but I've tried yoga.
1635;Which is the only country to have one syllable in its name?;Geography;;GPT / https://www.anadventurousworld.com/usa-trivia-questions/;Economy, Health, and Environment;Quiz question;The only country with one syllable in its name is Greece.;The only country with one syllable in its name is Wales.
111;Now thinking about our economic situation, how would you describe the current economic situation in your country - is it very good, somewhat good, somewhat bad or very bad?;N. Economy and work;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;Somewhat bad;Somewhat bad
1534;How important is it for your partner to share similar food preferences with you?;Food,Family & Relationships;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Likert Scale;It's not crucial, but it makes meal planning easier.;It's helpful, but we respect each other's tastes.
742;"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People who have AIDS";L. Family and relationships;"['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;Society, Culture, and Relationships;Binary Choice;Not mentioned;Not mentioned
697;People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?;D. Politics and policy;"['A high level of economic growth', 'Making sure this country has strong defence forces', 'Seeing that people have more say about how are done at their jobs and in their communities', 'Trying to make our cities and countryside more beautiful', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;Politics and Governance;Multiple Choice;Making sure this country has strong defence forces;A high level of economic growth
885;What do you call a meal at midday?;Food & Drink;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Lunch.;Lunch.
1574;In which city was the first free library established in a country?;Literature;;GPT / https://www.beelovedcity.com/england-quiz;Society, Culture, and Relationships;Quiz question;The first free library in the United States was established in Peterborough, New Hampshire.;The first free public library in the United Kingdom was established in Manchester.
494;Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? c. India;G. International affairs;['More important role', 'Less important role', 'As important as 10 years ago', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;More important role;More important role
248;"Which of the following worries you second most about Islamic identity in our country today?  It can lead to violence; it can lead to a loss of personal freedoms; it will prevent Muslims from integrating into our society.";D. Politics and policy;['It can lead to violence', 'It can lead to a loss of personal freedoms', 'It will prevent Muslims from integrating into our society'];GAS;Politics and Governance;Multiple Choice;It can lead to a loss of personal freedoms;It can lead to a loss of personal freedoms
1491;Do you have a favorite family member?;Family & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;I love 'em all, but I'm closest to my sister.;It's best not to pick favorites, isn't it?
1368;Do you read political think pieces?;Education & Knowledge;;GPT-4 generated;Media, Technology, and Education;Binary Choice;Not really, too many hot takes.;Sometimes, it's good to stay informed.
661;"Do you agree, disagree or neither agree nor disagree with the following statements?:

Homosexual couples are as good parents as other couples";I. Gender and LGBTQ;"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;Society, Culture, and Relationships;Likert Scale;Neither agree nor disagree;Agree
53;Thinking about the public, would you say each of the following aspects needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed? a. the economic system;N. Economy and work;['It needs to be completely reformed', 'It needs major changes', 'It needs minor changes', 'It doesn’t need to be changed', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;It needs major changes;It needs minor changes
108;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.;D. Politics and policy;['Approve', 'Disapprove'];GAS;Politics and Governance;Binary Choice;Disapprove;Approve
808;"Do you agree, disagree or neither agree nor disagree with the following statements?

Problem if women have more income than husband";I. Gender and LGBTQ;"['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly', ""Don't know"", 'No answer', 'Missing; Unknown']";WVS;Society, Culture, and Relationships;Likert Scale;Disagree;Disagree
628;Does trade with other countries lead to job creation in your country, job losses, or does it not make a difference? ;N. Economy and work;['Job creation', 'Job losses', 'Does not make a difference', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;Job creation;Job creation
91;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?;N. Economy and work;['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];GAS;Economy, Health, and Environment;Numerical Scale;Very important;Very important
983;Who is your favorite late-night talk show host?;Entertainment & Arts;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Multiple Choice;I like Jimmy Fallon, he's got great energy.;Graham Norton, he's absolutely hilarious.
126;I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country? ;G. International affairs;['Major threat', 'Minor threat', 'Not a threat'];GAS;Economy, Health, and Environment;Likert Scale;Minor threat;Minor threat
1089;How many pairs of shoes do you own?;Fashion & Style;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Numerical Scale;Probably closer to ten.;Around five pairs.
330;When children today in your country grow up, do you think they will be better off or worse off financially than their parents? ;N. Economy and work;['Better off', 'Worse off', 'Same (VOL)', 'Same (DO NOT READ)', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;Worse off;Worse off
754;"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:

Civil service providers (police, judiciary, civil servants, doctors, teachers)";D. Politics and policy;"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;Politics and Governance;Likert Scale;Few of them;Few of them
1283;Do you like romantic novels?;Education & Knowledge;;GPT-4 generated;Media, Technology, and Education;Binary Choice;Yeah, they're a guilty pleasure.;Only if they're not too sappy.
1355;Do you prefer laptops or desktops?;Technology;;GPT-4 generated;Media, Technology, and Education;Binary Choice;Desktop, more power for the price.;Laptop, it's more portable.
60;Please tell me whether you completely agree, mostly agree or completely disagree with the following statements: Children need to learn a foreign language to succeed in the world today;N. Economy and work;['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;Economy, Health, and Environment;Likert Scale;Mostly agree;Completely agree
442;Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? d. The European Union;D. Politics and policy;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;Politics and Governance;Likert Scale;Somewhat good;Somewhat good
421;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...[Pakistani President] Pervez Musharraf;D. Politics and policy;['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];GAS;Politics and Governance;Likert Scale;Somewhat favorable;Somewhat favorable
194;Now thinking about Iraq, regardless of what you think about the original decision to use military force in Iraq, do you now believe that efforts to establish a stable democratic government in Iraq will definitely succeed, probably succeed, probably fail, or definitely fail?;D. Politics and policy;['Definitely succeed', 'Probably succeed', 'Probably fail', 'Definitely fail'];GAS;Politics and Governance;Likert Scale;Probably fail;Probably fail
8;Has each of the following gotten better or worse over the last five years in our country: the gap between rich and poor people.;N. Economy and work;['Better', 'Worse', 'Has not changed'];GAS;Economy, Health, and Environment;Likert Scale;Worse;Worse
1474;Do you like holiday-themed drinks?;Holidays & Celebrations;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Pumpkin spice lattes all the way!;Mulled wine is a must during the festive season.
1272;Do you like wearing hats?;Fashion & Style;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Yes, they're a cool accessory.;Only in dire need or for an event.
860;What do you call it when a player scores three goals in hockey?;Society & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;A hat-trick.;A hat-trick.
1176;Do you use digital wallets or prefer cash?;Technology;;GPT-4 generated;Media, Technology, and Education;Binary Choice;Almost all digital, rarely use cash.;Both, but leaning towards digital.
644;Now I'm going to read you some statements about President Barack Obama.  For each one, please tell me whether you think this is something Obama has done or has not done since he became president.  Do you think he has gotten the United States to take significant measures to control global climate change or don't you think so?;D. Politics and policy;['Has', 'Has not'];GAS;Politics and Governance;Binary Choice;Has not;Has not
1332;Do you find math interesting?;Education & Knowledge;;GPT-4 generated;Media, Technology, and Education;Likert Scale;Not really my thing, to be honest.;It has its moments.
1357;Do you go birdwatching?;Environment & Nature;;GPT-4 generated;Economy, Health, and Environment;Binary Choice;Not really my thing.;Not frequently, but it's a nice, quiet hobby.
937;What's the national anthem?;Society & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;The Star-Spangled Banner;God Save the Queen
1138;How long is your daily commute?;Travel & Commute;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Numerical Scale;Around 20-30 minutes by car.;About 30 minutes by train.
491;Now I’d like to ask you about your preference – what kind of marriage do you think is the more satisfying way of life?;L. Family and relationships;['One where the husband provides for the family and the wife takes care of the house and children', 'One where the husband and wife both have jobs and together take care of the house and children', 'One where the wife provides for the family and the husband takes care of the house and children (DO NOT READ)', 'Other (DO NOT READ)', 'Neither (DO NOT READ)', 'DK/Refused'];GAS;Society, Culture, and Relationships;Likert Scale;One where the husband and wife both have jobs and together take care of the house and children;One where the husband and wife both have jobs and together take care of the house and children
535;And over the next 12 months do you expect the economic situation in our country to improve a lot, improve a little, remain the same, worsen a little or worsen a lot?;N. Economy and work;['Improve a lot', 'Improve a little', 'Remain the same', 'Worsen a little', 'Worsen a lot', 'DK/Refused'];GAS;Economy, Health, and Environment;Likert Scale;Improve a lot;Improve a little
1509;Do you like field trips?;Education & Knowledge;;GPT-4 generated;Media, Technology, and Education;Likert Scale;Oh, definitely, they're a break from the routine.;It's a nice change from regular classes.
231;Which of the following statements comes closer to your view, even if neither is exactly right? Improving human rights around the world should be one of your country’s most important foreign policy goals, Improving human rights is important, but many other foreign policy goals should be more important, Improving human rights around the world should not be an important foreign policy goal for your country;D. Politics and policy;['Improving human rights around the world should be one of (survey country)’s most important foreign policy goals', 'Having a close relationship to the United States', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Improving human rights is important, but many other foreign policy goals should be more important', 'Having a close relationship to Russia', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'Improving human rights around the world should not be an important foreign policy goal for (survey country)', 'Both relationships are equally important (DO NOT READ)', 'None of the above (VOL)', 'Neither (DO NOT READ)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree', 'The U.S. should try to promote human rights in China, even if it harms economic relations with China', 'The U.S. should prioritize strengthening economic relations with China, even if it means not addressing human rights issues'];GAS;Politics and Governance;Likert Scale;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
556;Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country.  Is the influence of our national government very good, somewhat good, somewhat bad or very bad in our country?;D. Politics and policy;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];GAS;Politics and Governance;Likert Scale;Somewhat good;Somewhat good
270;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. human rights organizations are allowed to operate without <state or government> interference;D. Politics and policy;['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];GAS;Politics and Governance;Likert Scale;Very important;Very important
916;What do you eat for breakfast?;Cultural Preferences;;GPT-4 generated;Society, Culture, and Relationships;Multiple Choice;Pancakes, bacon, and eggs, or cereal.;Full English breakfast, which might include eggs, bacon, sausages, baked beans, and toast.
1270;Do you prefer leather or synthetic materials?;Fashion & Style;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Synthetic, it's more ethical.;Leather, for the quality.
382;Thinking about immigration, would you support or oppose your country ____? c. encouraging highly skilled people to immigrate and work in your country;D. Politics and policy;['Support', 'Oppose', 'DK/Refused'];GAS;Politics and Governance;Binary Choice;Support;Support
297;How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?;C. Science and technology;['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'Climate change does not exist (Vol.)', 'DK/Refused'];GAS;Media, Technology, and Education;Likert Scale;Somewhat concerned;Very concerned
1545;Do you think sharing similar food preferences strengthens a relationship?;Food,Family & Relationships;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Likert Scale;It can help, but it's more about respect and understanding each other's choices.;It's a bonus, but understanding and accommodating differences are more important.
1412;Do you enjoy eating organs or offal?;Food & Drink;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Not really, it's a bit much for me.;No, not to my taste.
1487;Do you have shared hobbies with family?;Family & Relationships;;GPT-4 generated;Society, Culture, and Relationships;Binary Choice;We all like to watch football together.;Yes, we all enjoy a good walk.
774;How satisfied are you with the financial situation of your household? If '1' means you are completely dissatisfied on this scale, and '10' means you are completely satisfied, where would you put your satisfaction with your household's financial situation?;N. Economy and work;"['Satisfied', '9', '8', '7', '6', '5', '4', '3', '2', 'Dissatisfied', ""Don't know"", 'No answer', 'Missing; Unknown']";WVS;Economy, Health, and Environment;Numerical Scale;8;7
267;Which of these characteristics do you associate with Muslims?...Respectful of Women...Do you associate this with Muslims or not?;M. Race and ethnicity;['Yes', 'No'];GAS;Society, Culture, and Relationships;Binary Choice;No;No
1249;Do you watch reality TV?;Entertainment & Arts;;GPT-4 generated;Lifestyle, Entertainment, and Daily Living;Binary Choice;Yes, it's my guilty pleasure.;Occasionally, just for the laughs.
